company_id,name,cik,rev_updated,rd_updated,rows_inserted,status
2,BlackRock,1364742,0,0,0,ok
8,Alloy,1080359,0,0,0,fetch_failed
10,Navan,1639723,1,1,0,ok
15,Rubrik,1943896,2,2,0,ok
17,TransUnion,1552033,8,0,0,ok
20,Forge,1827821,0,0,0,ok
21,MetLife,1099219,10,0,0,ok
22,Yext,1614178,0,2,0,ok
26,"Fluent, Inc.",1460329,8,8,0,ok
29,Hinge,1673743,1,1,0,ok
33,SoFi,1818874,1,1,0,ok
43,Kepler,2000208,0,0,0,fetch_failed
44,Genius Sports,1834489,0,0,0,no_tags
45,BlackLine,1666134,0,1,0,ok
47,Chime,1795586,1,1,0,ok
55,Tempus AI,1717115,1,1,0,ok
58,ZS,1459266,0,1,0,ok
62,Coinbase,1679788,5,5,0,ok
63,Pfizer,78003,2,17,0,ok
64,Atlassian,1650372,1,1,0,ok
70,Zeta Global,1851003,1,1,0,ok
71,UL Solutions,1901440,1,0,0,ok
73,Block,1512673,8,10,0,ok
76,MarketAxess,1278021,4,0,1,ok
84,Clearwater Analytics (CWAN),1866368,1,1,0,ok
85,Squarespace,1496963,0,0,0,ok
86,CAIS,1078404,0,0,0,fetch_failed
87,Mastercard,1141391,10,0,0,ok
90,ServiceNow,1373715,3,4,0,ok
93,Braze,1676238,2,2,0,ok
96,Capital One,927628,6,0,0,ok
97,Snap Inc.,1564408,0,1,0,ok
101,Magnite,1595974,4,2,0,ok
105,Riskified,1851112,0,0,0,no_tags
113,Skillsoft,1774675,0,2,0,ok
120,Upstart,1647639,3,1,0,ok
125,monday.com,1845338,0,0,0,no_tags
128,Qualtrics,1747748,0,0,0,ok
129,Affirm,1820953,1,0,0,ok
133,Datadog,1561550,1,1,0,ok
140,Octus,891462,0,0,0,fetch_failed
145,Take-Two Interactive Software,946581,1,1,0,ok
146,SharkNinja,1957132,1,1,0,ok
150,Taboola,1840502,1,1,0,ok
152,Enova,1529864,1,0,1,ok
155,DraftKings,1883685,1,0,0,ok
158,MongoDB,1441816,2,2,0,ok
160,InterSystems,806011,0,0,0,fetch_failed
165,CoreWeave,1769628,1,1,0,ok
166,Camber,1309082,3,0,0,ok
182,Morningstar,1289419,2,3,0,ok
183,Zscaler,1713683,1,1,0,ok
187,GoodRx,1809519,1,1,0,ok
198,Spiral,1520108,1,1,0,ok
207,Arena (arena-ai),894871,2,2,1,ok
211,Immunovant,1764013,0,0,0,ok
228,Fox Corporation,1754301,1,0,0,ok
236,Vantage,1419428,3,0,1,ok
241,Charlie Health,1134765,0,1,0,ok
251,Angi,1705110,0,0,1,ok
265,The Trade Desk,1671933,1,1,0,ok
288,Kroll,1020476,0,0,0,fetch_failed
293,Marsh McLennan,62709,1,0,0,ok
320,Voya Financial,1535929,4,0,2,ok
338,Co-Star,1002590,8,0,0,ok
344,BuzzFeed,1828972,1,1,0,ok
347,Orion Group,1402829,1,0,0,ok
350,Tandem,1292653,5,0,0,ok
357,Millennium,1018099,0,0,0,fetch_failed
363,Imax Corporation,921582,7,5,0,ok
370,Teads,1454938,1,1,0,ok
378,AMC Networks Inc.,1514991,1,0,0,ok
393,Moelis & Company,1596967,0,0,0,no_tags
402,Grainger,277135,1,0,0,ok
411,Coupa,1385867,0,0,0,ok
414,Avant,943892,0,0,0,fetch_failed
421,CDW,1402057,2,0,0,ok
422,Caterpillar,18230,3,3,4,ok
428,Flywire,1580560,1,1,0,ok
431,Vivid Seats,1856031,1,0,0,ok
432,Waystar,1990354,1,1,0,ok
434,iManage,1093242,0,0,0,fetch_failed
435,Boeing,12927,14,7,0,ok
440,Zoro,1329484,0,0,0,no_tags
449,Dropbox,1467623,1,1,0,ok
456,Motorola Solutions,68505,9,17,0,ok
472,OppFi,1818502,0,0,0,no_tags
482,Sprout Social,1517375,1,1,0,ok
483,HERE Technologies,1932770,0,0,0,no_tags
486,Fortune Brands Innovations,1519751,1,3,0,ok
494,EDGE,1472091,0,1,0,ok
525,Veridian,1095901,0,0,0,fetch_failed
527,Ryan Specialty,1849253,2,0,0,ok
538,Constellation Brands,16918,1,0,0,ok
